Degree,Sum of Pixels
1,1724
2,1753
3,1786
4,1808
5,1817
6,1840
7,1835
8,1866
9,1875
10,1872
11,1901
12,1926
13,1916
14,1925
15,1938
16,1926
17,1959
18,1977
19,1968
20,1977
21,1995
22,1971
23,1988
24,2020
25,2009
26,2032
27,2023
28,2004
29,2018
30,2036
31,2014
32,2016
33,2017
34,2010
35,2014
36,2040
37,2017
38,2030
39,2049
40,2014
41,2020
42,2025
43,2016
44,2017
45,2009
46,2000
47,2004
48,2009
49,1995
50,1988
51,1961
52,1928
53,1968
54,1972
55,1937
56,1935
57,1939
58,1920
59,1908
60,1930
61,1897
62,1892
63,1896
64,1871
65,1868
66,1862
67,1829
68,1824
69,1832
70,1807
71,1803
72,1805
73,1793
74,1769
75,1771
76,1750
77,1731
78,1735
79,1705
80,1706
81,1694
82,1682
83,1671
84,1657
85,1631
86,1633
87,1626
88,1588
89,1581
90,1599
91,1576
92,1724
93,1753
94,1786
95,1808
96,1817
97,1840
98,1835
99,1866
100,1900
101,1900
102,1900
103,1900
104,1900
105,1900
106,1900
107,1900
108,1900
109,1900
110,1900
111,1900
112,1900
113,1900
114,1900
115,1900
116,1900
117,1900
118,1900
119,1900
120,1900
121,1900
122,1900
123,1900
124,1900
125,1900
126,1900
127,1900
128,1900
129,1900
130,1900
131,1900
132,1900
133,1900
134,1900
135,1900
136,1900
137,1900
138,1900
139,1900
140,1900
141,1900
142,1900
143,1900
144,1900
145,1900
146,1900
147,1900
148,1900
149,1900
150,1900
151,1930
152,1897
153,1892
154,1896
155,1871
156,1868
157,1862
158,1829
159,1824
160,1832
161,1807
162,1803
163,1805
164,1793
165,1769
166,1771
167,1750
168,1731
169,1735
170,1705
171,1706
172,1694
173,1682
174,1671
175,1657
176,1631
177,1633
178,1626
179,1588
180,1581
181,1599
182,1576
183,1724
184,1753
185,1786
186,1808
187,1817
188,1840
189,1835
190,1866
191,1875
192,1872
193,1901
194,1926
195,1916
196,1925
197,1938
198,1926
199,1959
200,1977
201,1968
202,1977
203,1995
204,1971
205,1988
206,2020
207,2009
208,2032
209,2023
210,2004
211,2018
212,2036
213,2014
214,2016
215,2017
216,2010
217,2014
218,2040
219,2017
220,2030
221,2049
222,2014
223,2020
224,2025
225,2016
226,2017
227,2009
228,2000
229,2004
230,2009
231,1995
232,1988
233,1961
234,1928
235,1968
236,1972
237,1937
238,1935
239,1939
240,1920
241,1908
242,1930
243,1897
244,1892
245,1896
246,1871
247,1868
248,1862
249,1829
250,1824
251,1832
252,1807
253,1803
254,1805
255,1793
256,1769
257,1771
258,1750
259,1731
260,1735
261,1705
262,1706
263,1694
264,1682
265,1671
266,1657
267,1631
268,1633
269,1626
270,1588
271,1581
272,1599
273,1576
274,1724
275,1753
276,1786
277,1808
278,1817
279,1840
280,1835
281,1866
282,1875
283,1872
284,1901
285,1926
286,1916
287,1925
288,1938
289,1926
290,1959
291,1977
292,1968
293,1977
294,1995
295,1971
296,1988
297,2020
298,2009
299,2032
300,2023
301,2004
302,2018
303,2036
304,2014
305,2016
306,2017
307,2010
308,2014
309,2040
310,2017
311,2030
312,2049
313,2014
314,2020
315,2025
316,2016
317,2017
318,2009
319,2000
320,2004
321,2009
322,1995
323,1988
324,1961
325,1928
326,1968
327,1972
328,1937
329,1935
330,1939
331,1920
332,1908
333,1930
334,1897
335,1892
336,1896
337,1871
338,1868
339,1862
340,1829
341,1824
342,1832
343,1807
344,1803
345,1805
346,1793
347,1769
348,1771
349,1750
350,1731
351,1735
352,1705
353,1706
354,1694
355,1682
356,1671
357,1657
358,1631
359,1633
360,1626
