Degree,Sum of Pixels
1,1824
2,1832
3,1807
4,1803
5,1805
6,1793
7,1769
8,1771
9,1750
10,1731
11,1735
12,1705
13,1706
14,1694
15,1682
16,1671
17,1657
18,1631
19,1633
20,1626
21,1724
22,1753
23,1786
24,1808
25,1817
26,1840
27,1835
28,1866
29,1875
30,1872
31,1901
32,1926
33,1916
34,1925
35,1938
36,1926
37,1959
38,1977
39,1968
40,1977
41,1995
42,1971
43,1988
44,2020
45,2009
46,2032
47,2023
48,2004
49,2018
50,2036
51,2014
52,2016
53,2017
54,2010
55,2014
56,2040
57,2017
58,2030
59,2049
60,2014
61,2020
62,2025
63,2016
64,2017
65,2009
66,2000
67,2004
68,2009
69,1995
70,1988
71,1961
72,1928
73,1968
74,1972
75,1937
76,1935
77,1939
78,1920
79,1908
80,1930
81,1897
82,1892
83,1896
84,1871
85,1868
86,1862
87,1829
88,1824
89,1832
90,1807
91,1803
92,1805
93,1793
94,1769
95,1771
96,1750
97,1731
98,1735
99,1705
100,1706
101,1694
102,1682
103,1671
104,1657
105,1631
106,1633
107,1626
108,1588
109,1581
110,1599
111,1576
112,1724
113,1753
114,1786
115,1808
116,1817
117,1840
118,1835
119,1866
120,1900
121,1900
122,1900
123,1900
124,1900
125,1900
126,1900
127,1900
128,1900
129,1900
130,1900
131,1900
132,1900
133,1900
134,1900
135,1900
136,1900
137,1900
138,1900
139,1900
140,1900
141,1900
142,1900
143,1900
144,1900
145,1900
146,1900
147,1900
148,1900
149,1900
150,1900
151,1900
152,1900
153,1900
154,1900
155,1900
156,1900
157,1900
158,1900
159,1900
160,1900
161,1900
162,1900
163,1900
164,1900
165,1900
166,1900
167,1900
168,1900
169,1900
170,1900
171,1930
172,1897
173,1892
174,1896
175,1871
176,1868
177,1862
178,1829
179,1824
180,1832
181,1807
182,1803
183,1805
184,1793
185,1769
186,1771
187,1750
188,1731
189,1735
190,1705
191,1706
192,1694
193,1682
194,1671
195,1657
196,1631
197,1633
198,1626
199,1588
200,1581
201,1599
202,1576
203,1724
204,1753
205,1786
206,1808
207,1817
208,1840
209,1835
210,1866
211,1875
212,1872
213,1901
214,1926
215,1916
216,1925
217,1938
218,1926
219,1959
220,1977
221,1968
222,1977
223,1995
224,1971
225,1988
226,2020
227,2009
228,2032
229,2023
230,2004
231,2018
232,2036
233,2014
234,2016
235,2017
236,2010
237,2014
238,2040
239,2017
240,2030
241,2049
242,2014
243,2020
244,2025
245,2016
246,2017
247,2009
248,2000
249,2004
250,2009
251,1995
252,1988
253,1961
254,1928
255,1968
256,1972
257,1937
258,1935
259,1939
260,1920
261,1908
262,1930
263,1897
264,1892
265,1896
266,1871
267,1868
268,1862
269,1829
270,1824
271,1832
272,1807
273,1803
274,1805
275,1793
276,1769
277,1771
278,1750
279,1731
280,1735
281,1705
282,1706
283,1694
284,1682
285,1671
286,1657
287,1631
288,1633
289,1626
290,1588
291,1581
292,1599
293,1576
294,1724
295,1753
296,1786
297,1808
298,1817
299,1840
300,1835
301,1866
302,1875
303,1872
304,1901
305,1926
306,1916
307,1925
308,1938
309,1926
310,1959
311,1977
312,1968
313,1977
314,1995
315,1971
316,1988
317,2020
318,2009
319,2032
320,2023
321,2004
322,2018
323,2036
324,2014
325,2016
326,2017
327,2010
328,2014
329,2040
330,2017
331,2030
332,2049
333,2014
334,2020
335,2025
336,2016
337,2017
338,2009
339,2000
340,2004
341,2009
342,1995
343,1988
344,1961
345,1928
346,1968
347,1972
348,1937
349,1935
350,1939
351,1920
352,1908
353,1930
354,1897
355,1892
356,1896
357,1871
358,1868
359,1862
360,1829
