Degree,Sum of Pixels
1,1248
2,1237
3,1194
4,1199
5,1210
6,1204
7,1189
8,1189
9,1200
10,1162
11,1174
12,1182
13,1161
14,1184
15,1095
16,1132
17,1129
18,1081
19,1053
20,1062
21,1053
22,1049
23,1065
24,1064
25,1068
26,1045
27,1094
28,1090
29,1093
30,1086
31,1122
32,1132
33,1080
34,1107
35,1095
36,1115
37,1092
38,1075
39,1036
40,1049
41,1033
42,1042
43,1044
44,1008
45,1014
46,1009
47,1024
48,1049
49,1050
50,1095
51,1054
52,1096
53,1108
54,1021
55,1016
56,1124
57,1084
58,1074
59,1062
60,1065
61,1062
62,1073
63,1178
64,1187
65,1179
66,1179
67,1181
68,1206
69,1189
70,1206
71,1222
72,1226
73,1188
74,1227
75,1191
76,1223
77,1195
78,1234
79,1200
80,1208
81,1208
82,1206
83,1202
84,1246
85,1197
86,1223
87,1209
88,1271
89,1289
90,1339
91,1297
92,1302
93,1276
94,1377
95,1326
96,1319
97,1309
98,1376
99,1384
100,1299
101,1358
102,1342
103,1344
104,1326
105,1310
106,1275
107,1344
108,1339
109,1280
110,1313
111,1314
112,1365
113,1311
114,1333
115,1304
116,1305
117,1332
118,1305
119,1356
120,1353
121,1326
122,1339
123,1328
124,1330
125,1350
126,1380
127,1337
128,1341
129,1343
130,1323
131,1336
132,1355
133,1315
134,1343
135,1333
136,1336
137,1321
138,1338
139,1268
140,1285
141,1290
142,1288
143,1275
144,1296
145,1302
146,1351
147,1295
148,1260
149,1290
150,1319
151,1291
152,1288
153,1243
154,1272
155,1255
156,1280
157,1279
158,1246
159,1249
160,1242
161,1244
162,1310
163,1238
164,1259
165,1245
166,1249
167,1237
168,1224
169,1240
170,1236
171,1269
172,1239
173,1225
174,1217
175,1211
176,1215
177,1221
178,1231
179,1187
180,1210
181,1195
182,1217
183,1172
184,1198
185,1194
186,1171
187,1168
188,1164
189,1184
190,1209
191,1193
192,1214
193,1237
194,1208
195,1186
196,1159
197,1176
198,1196
199,1202
200,1217
201,1145
202,1186
203,1196
204,1149
205,1149
206,1143
207,1150
208,1180
209,1152
210,1150
211,1156
212,1179
213,1195
214,1169
215,1173
216,1174
217,1165
218,1209
219,1183
220,1218
221,1170
222,1192
223,1198
224,1210
225,1209
226,1207
227,1210
228,1237
229,1235
230,1226
231,1220
232,1246
233,1237
234,1263
235,1249
236,1260
237,1235
238,1233
239,1235
240,1247
241,1259
242,1239
243,1255
244,1226
245,1240
246,1241
247,1207
248,1222
249,1212
250,1250
251,1221
252,1205
253,1254
254,1217
255,1265
256,1240
257,1211
258,1232
259,1254
260,1225
261,1246
262,1234
263,1248
264,1244
265,1231
266,1225
267,1246
268,1227
269,1247
270,1235
271,1283
272,1248
273,1249
274,1282
275,1256
276,1294
277,1285
278,1236
279,1211
280,1222
281,1182
282,1232
283,1245
284,1233
285,1212
286,1203
287,1208
288,1228
289,1243
290,1239
291,1220
292,1244
293,1208
294,1187
295,1212
296,1254
297,1221
298,1222
299,1234
300,1220
301,1227
302,1227
303,1205
304,1219
305,1247
306,1245
307,1202
308,1223
309,1232
310,1230
311,1219
312,1218
313,1186
314,1222
315,1217
316,1221
317,1213
318,1232
319,1202
320,1247
321,1244
322,1257
323,1210
324,1238
325,1205
326,1240
327,1241
328,1245
329,1236
330,1233
331,1247
332,1227
333,1237
334,1235
335,1220
336,1216
337,1244
338,1237
339,1238
340,1245
341,1253
342,1281
343,1247
344,1210
345,1223
346,1222
347,1267
348,1257
349,1241
350,1219
351,1220
352,1227
353,1245
354,1251
355,1230
356,1258
357,1255
358,1254
359,1255
360,1209
