Degree,Sum of Pixels
1,1549
2,1585
3,1570
4,1607
5,1612
6,1625
7,1618
8,1596
9,1610
10,1611
11,1607
12,1595
13,1625
14,1624
15,1641
16,1639
17,1652
18,1638
19,1638
20,1646
21,1637
22,1627
23,1644
24,1671
25,1673
26,1689
27,1695
28,1649
29,1681
30,1649
31,1637
32,1653
33,1642
34,1634
35,1637
36,1664
37,1624
38,1666
39,1619
40,1617
41,1667
42,1668
43,1601
44,1643
45,1656
46,1655
47,1609
48,1605
49,1611
50,1585
51,1609
52,1587
53,1588
54,1571
55,1566
56,1569
57,1571
58,1548
59,1557
60,1573
61,1506
62,1526
63,1519
64,1515
65,1514
66,1512
67,1476
68,1473
69,1485
70,1450
71,1475
72,1508
73,1394
74,1390
75,1415
76,1363
77,1355
78,1350
79,1345
80,1354
81,1356
82,1388
83,1383
84,1360
85,1353
86,1347
87,1286
88,1313
89,1316
90,1281
91,1304
92,1305
93,1320
94,1321
95,1238
96,1263
97,1269
98,1260
99,1307
100,1285
101,1308
102,1356
103,1320
104,1310
105,1269
106,1311
107,1277
108,1274
109,1265
110,1266
111,1289
112,1272
113,1273
114,1292
115,1278
116,1320
117,1367
118,1339
119,1338
120,1391
121,1192
122,1288
123,1317
124,1254
125,1216
126,1240
127,1204
128,1276
129,1261
130,1263
131,1280
132,1323
133,1344
134,1371
135,1362
136,1351
137,1318
138,1350
139,1345
140,1378
141,1395
142,1347
143,1353
144,1366
145,1335
146,1384
147,1356
148,1361
149,1356
150,1353
151,1426
152,1380
153,1412
154,1408
155,1433
156,1413
157,1398
158,1441
159,1416
160,1434
161,1453
162,1453
163,1455
164,1492
165,1500
166,1484
167,1509
168,1502
169,1492
170,1523
171,1499
172,1499
173,1528
174,1512
175,1564
176,1580
177,1548
178,1549
179,1574
180,1523
181,1535
182,1572
183,1541
184,1575
185,1559
186,1549
187,1553
188,1545
189,1617
190,1615
191,1634
192,1610
193,1606
194,1618
195,1634
196,1626
197,1614
198,1628
199,1637
200,1614
201,1640
202,1672
203,1654
204,1629
205,1637
206,1623
207,1605
208,1612
209,1637
210,1658
211,1633
212,1590
213,1657
214,1683
215,1642
216,1651
217,1643
218,1592
219,1614
220,1622
221,1613
222,1606
223,1602
224,1596
225,1616
226,1636
227,1619
228,1597
229,1587
230,1573
231,1565
232,1578
233,1555
234,1565
235,1540
236,1582
237,1579
238,1546
239,1569
240,1544
241,1537
242,1532
243,1519
244,1499
245,1503
246,1427
247,1418
248,1426
249,1434
250,1459
251,1427
252,1403
253,1427
254,1410
255,1391
256,1394
257,1350
258,1368
259,1363
260,1334
261,1338
262,1293
263,1318
264,1294
265,1262
266,1285
267,1325
268,1298
269,1277
270,1267
271,1307
272,1290
273,1304
274,1299
275,1300
276,1266
277,1286
278,1264
279,1297
280,1305
281,1304
282,1297
283,1308
284,1284
285,1275
286,1297
287,1293
288,1309
289,1275
290,1300
291,1300
292,1336
293,1336
294,1325
295,1320
296,1237
297,1234
298,1271
299,1340
300,1244
301,1265
302,1232
303,1225
304,1275
305,1191
306,1219
307,1190
308,1165
309,1175
310,1235
311,1231
312,1196
313,1228
314,1234
315,1270
316,1291
317,1294
318,1278
319,1262
320,1288
321,1344
322,1340
323,1332
324,1336
325,1354
326,1337
327,1367
328,1360
329,1389
330,1385
331,1417
332,1422
333,1428
334,1426
335,1418
336,1368
337,1424
338,1422
339,1420
340,1383
341,1458
342,1462
343,1492
344,1467
345,1456
346,1485
347,1478
348,1497
349,1514
350,1490
351,1522
352,1491
353,1506
354,1517
355,1533
356,1528
357,1541
358,1540
359,1581
360,1529
