Degree,Sum of Pixels
1,2389
2,2352
3,2382
4,2365
5,2386
6,2427
7,2331
8,2326
9,2364
10,2343
11,2351
12,2342
13,2280
14,2292
15,2337
16,2325
17,2299
18,2284
19,2244
20,2273
21,2304
22,2277
23,2247
24,2197
25,2197
26,2213
27,2237
28,2170
29,2145
30,2157
31,2180
32,2169
33,2177
34,2104
35,2075
36,2117
37,2133
38,2105
39,2090
40,2025
41,2021
42,2099
43,2094
44,2071
45,2031
46,1985
47,2005
48,2062
49,2050
50,1956
51,1959
52,1992
53,1989
54,2053
55,2077
56,2071
57,2069
58,2099
59,2096
60,2102
61,2115
62,2119
63,2120
64,2148
65,2128
66,2154
67,2169
68,2160
69,2146
70,2176
71,2154
72,2154
73,2220
74,2194
75,2181
76,2213
77,2190
78,2182
79,2203
80,2179
81,2179
82,2198
83,2175
84,2167
85,2199
86,2200
87,2177
88,2183
89,2186
90,2155
91,2153
92,2154
93,2144
94,2186
95,2146
96,2162
97,2172
98,2179
99,2169
100,2172
101,2181
102,2177
103,2203
104,2207
105,2207
106,2238
107,2217
108,2195
109,2243
110,2238
111,2227
112,2234
113,2215
114,2201
115,2228
116,2209
117,2214
118,2217
119,2218
120,2205
121,2230
122,2226
123,2207
124,2223
125,2214
126,2188
127,2208
128,2206
129,2186
130,2187
131,2174
132,2162
133,2186
134,2181
135,2156
136,2145
137,2144
138,2126
139,2151
140,2159
141,2079
142,2065
143,2043
144,2115
145,2171
146,2175
147,2196
148,2167
149,2158
150,2230
151,2281
152,2259
153,2273
154,2247
155,2255
156,2329
157,2333
158,2285
159,2300
160,2291
161,2312
162,2371
163,2363
164,2300
165,2298
166,2346
167,2338
168,2379
169,2334
170,2291
171,2343
172,2374
173,2346
174,2383
175,2325
176,2312
177,2340
178,2384
179,2334
180,2363
181,2311
182,2280
183,2337
184,2365
185,2306
186,2328
187,2334
188,2330
189,2383
190,2333
191,2273
192,2299
193,2337
194,2341
195,2348
196,2299
197,2228
198,2256
199,2306
200,2274
201,2287
202,2240
203,2182
204,2207
205,2239
206,2204
207,2195
208,2137
209,2129
210,2157
211,2188
212,2149
213,2112
214,2094
215,2108
216,2119
217,2120
218,2057
219,2036
220,2061
221,2057
222,2073
223,2064
224,1999
225,1995
226,2045
227,2038
228,2055
229,2021
230,1986
231,2015
232,2094
233,2095
234,2123
235,2125
236,2132
237,2175
238,2218
239,2181
240,2195
241,2237
242,2258
243,2280
244,2289
245,2284
246,2271
247,2325
248,2336
249,2346
250,2345
251,2315
252,2323
253,2395
254,2394
255,2397
256,2367
257,2287
258,2327
259,2422
260,2384
261,2377
262,2372
263,2335
264,2376
265,2410
266,2387
267,2362
268,2381
269,2374
270,2375
271,2398
272,2354
273,2335
274,2346
275,2396
276,2380
277,2369
278,2309
279,2300
280,2317
281,2322
282,2338
283,2318
284,2262
285,2287
286,2338
287,2296
288,2281
289,2276
290,2235
291,2247
292,2275
293,2244
294,2195
295,2189
296,2204
297,2203
298,2210
299,2150
300,2107
301,2140
302,2173
303,2151
304,2131
305,2074
306,2047
307,2089
308,2102
309,2078
310,2053
311,2019
312,2013
313,2072
314,2062
315,2032
316,2006
317,1990
318,1996
319,2048
320,2034
321,2006
322,2065
323,2083
324,2141
325,2177
326,2151
327,2144
328,2194
329,2236
330,2243
331,2257
332,2225
333,2235
334,2290
335,2315
336,2311
337,2322
338,2303
339,2307
340,2378
341,2405
342,2362
343,2362
344,2342
345,2371
346,2408
347,2384
348,2348
349,2355
350,2402
351,2422
352,2435
353,2413
354,2337
355,2381
356,2433
357,2401
358,2422
359,2368
360,2321
