Degree,Sum of Pixels
1,2030
2,2049
3,2014
4,2020
5,2025
6,2016
7,2017
8,2009
9,2000
10,2004
11,2009
12,1995
13,1988
14,1961
15,1928
16,1968
17,1972
18,1937
19,1935
20,1939
21,1920
22,1908
23,1930
24,1897
25,1892
26,1896
27,1871
28,1868
29,1862
30,1829
31,1824
32,1832
33,1807
34,1803
35,1805
36,1793
37,1769
38,1771
39,1750
40,1731
41,1735
42,1705
43,1706
44,1694
45,1682
46,1671
47,1657
48,1631
49,1633
50,1626
51,1724
52,1753
53,1786
54,1808
55,1817
56,1840
57,1835
58,1866
59,1875
60,1872
61,1901
62,1926
63,1916
64,1925
65,1938
66,1926
67,1959
68,1977
69,1968
70,1977
71,1995
72,1971
73,1988
74,2020
75,2009
76,2032
77,2023
78,2004
79,2018
80,2036
81,2014
82,2016
83,2017
84,2010
85,2014
86,2040
87,2017
88,2030
89,2049
90,2014
91,2020
92,2025
93,2016
94,2017
95,2009
96,2000
97,2004
98,2009
99,1995
100,1988
101,1961
102,1928
103,1968
104,1972
105,1937
106,1935
107,1939
108,1920
109,1908
110,1930
111,1897
112,1892
113,1896
114,1871
115,1868
116,1862
117,1829
118,1824
119,1832
120,1807
121,1803
122,1805
123,1793
124,1769
125,1771
126,1750
127,1731
128,1735
129,1705
130,1706
131,1694
132,1682
133,1671
134,1657
135,1631
136,1633
137,1626
138,1588
139,1581
140,1599
141,1576
142,1724
143,1753
144,1786
145,1808
146,1817
147,1840
148,1835
149,1866
150,1875
151,1872
152,1901
153,1926
154,1916
155,1925
156,1938
157,1926
158,1959
159,1977
160,1968
161,1977
162,1995
163,1971
164,1988
165,2020
166,2009
167,2032
168,2023
169,2004
170,2018
171,2036
172,2014
173,2016
174,2017
175,2010
176,2014
177,2040
178,2017
179,2030
180,2049
181,2014
182,2020
183,2025
184,2016
185,2017
186,2009
187,2000
188,2004
189,2009
190,1995
191,1988
192,1961
193,1928
194,1968
195,1972
196,1937
197,1935
198,1939
199,1920
200,1908
201,1930
202,1897
203,1892
204,1896
205,1871
206,1868
207,1862
208,1829
209,1824
210,1832
211,1807
212,1803
213,1805
214,1793
215,1769
216,1771
217,1750
218,1731
219,1735
220,1705
221,1706
222,1694
223,1682
224,1671
225,1657
226,1631
227,1633
228,1626
229,1588
230,1581
231,1599
232,1576
233,1724
234,1753
235,1786
236,1808
237,1817
238,1840
239,1835
240,1866
241,1875
242,1872
243,1901
244,1926
245,1916
246,1925
247,1938
248,1926
249,1959
250,1977
251,1968
252,1977
253,1995
254,1971
255,1988
256,2020
257,2009
258,2032
259,2023
260,2004
261,2018
262,2036
263,2014
264,2016
265,2017
266,2010
267,2014
268,2040
269,2017
270,2030
271,2049
272,2014
273,2020
274,2025
275,2016
276,2017
277,2009
278,2000
279,2004
280,2009
281,1995
282,1988
283,1961
284,1928
285,1968
286,1972
287,1937
288,1935
289,1939
290,1920
291,1908
292,1930
293,1897
294,1892
295,1896
296,1871
297,1868
298,1862
299,1829
300,1824
301,1832
302,1807
303,1803
304,1805
305,1793
306,1769
307,1771
308,1750
309,1731
310,1735
311,1705
312,1706
313,1694
314,1682
315,1671
316,1657
317,1631
318,1633
319,1626
320,1588
321,1581
322,1599
323,1576
324,1724
325,1753
326,1786
327,1808
328,1817
329,1840
330,1835
331,1866
332,1875
333,1872
334,1901
335,1926
336,1916
337,1925
338,1938
339,1926
340,1959
341,1977
342,1968
343,1977
344,1995
345,1971
346,1988
347,2020
348,2009
349,2032
350,2023
351,2004
352,2018
353,2036
354,2014
355,2016
356,2017
357,2010
358,2014
359,2040
360,2017
