Degree,Sum of Pixels
1,2389
2,2352
3,2382
4,2365
5,2386
6,2427
7,2331
8,2326
9,2364
10,2343
11,2351
12,2342
13,2280
14,2292
15,2337
16,2325
17,2299
18,2284
19,2244
20,2273
21,2304
22,2277
23,2247
24,2197
25,2197
26,2213
27,2237
28,2170
29,2145
30,2157
31,2180
32,2169
33,2177
34,2104
35,2075
36,2117
37,2133
38,2105
39,2090
40,2025
41,2021
42,2099
43,2094
44,2071
45,2031
46,1985
47,2005
48,2062
49,2050
50,1826
51,1829
52,1862
53,1859
54,1923
55,1947
56,1941
57,1939
58,1969
59,1966
60,1972
61,1985
62,1989
63,1990
64,2018
65,1998
66,2024
67,2039
68,2030
69,2016
70,2046
71,2024
72,2024
73,2090
74,2064
75,2051
76,2083
77,2060
78,2052
79,2073
80,2049
81,2049
82,2068
83,2045
84,2037
85,2069
86,2070
87,2047
88,2053
89,2056
90,2025
91,2023
92,2024
93,2014
94,2056
95,2016
96,2032
97,2042
98,2049
99,2039
100,2042
101,2051
102,2047
103,2073
104,2077
105,2077
106,2108
107,2087
108,2065
109,2113
110,2108
111,2097
112,2104
113,2085
114,2071
115,2098
116,2079
117,2084
118,2087
119,2088
120,2075
121,2100
122,2096
123,2077
124,2093
125,2084
126,2058
127,2078
128,2076
129,2056
130,2057
131,2044
132,2032
133,2056
134,2051
135,2026
136,2015
137,2014
138,1996
139,2021
140,2029
141,2079
142,2065
143,2043
144,2115
145,2171
146,2175
147,2196
148,2167
149,2158
150,2230
151,2281
152,2259
153,2273
154,2247
155,2255
156,2329
157,2333
158,2285
159,2300
160,2291
161,2312
162,2371
163,2363
164,2300
165,2298
166,2346
167,2338
168,2379
169,2334
170,2291
171,2343
172,2374
173,2346
174,2383
175,2325
176,2312
177,2340
178,2384
179,2334
180,2363
181,2311
182,2280
183,2337
184,2365
185,2306
186,2328
187,2334
188,2330
189,2383
190,2333
191,2273
192,2299
193,2337
194,2341
195,2348
196,2299
197,2228
198,2256
199,2306
200,2274
201,2287
202,2240
203,2182
204,2207
205,2239
206,2204
207,2195
208,2137
209,2129
210,2157
211,2188
212,2149
213,2112
214,2094
215,2108
216,2119
217,2120
218,2057
219,2036
220,2061
221,2057
222,2073
223,2064
224,1999
225,1995
226,2045
227,2038
228,2055
229,2021
230,1986
231,2015
232,2094
233,2095
234,2123
235,2125
236,2132
237,2175
238,2218
239,2181
240,2195
241,2237
242,2258
243,2280
244,2289
245,2284
246,2271
247,2325
248,2336
249,2346
250,2345
251,2315
252,2323
253,2395
254,2394
255,2397
256,2367
257,2287
258,2327
259,2422
260,2384
261,2377
262,2372
263,2335
264,2376
265,2410
266,2387
267,2362
268,2381
269,2374
270,2375
271,2398
272,2354
273,2335
274,2346
275,2396
276,2380
277,2369
278,2309
279,2300
280,2317
281,2322
282,2338
283,2318
284,2262
285,2287
286,2338
287,2296
288,2281
289,2276
290,2235
291,2247
292,2275
293,2244
294,2195
295,2189
296,2204
297,2203
298,2210
299,2150
300,2107
301,2140
302,2173
303,2151
304,2131
305,2074
306,2047
307,2089
308,2102
309,2078
310,2053
311,2019
312,2013
313,2072
314,2062
315,2032
316,2006
317,1990
318,1996
319,2048
320,2034
321,2006
322,2065
323,2083
324,2141
325,2177
326,2151
327,2144
328,2194
329,2236
330,2243
331,2257
332,2225
333,2235
334,2290
335,2315
336,2311
337,2322
338,2303
339,2307
340,2378
341,2405
342,2362
343,2362
344,2342
345,2371
346,2408
347,2384
348,2348
349,2355
350,2402
351,2422
352,2435
353,2413
354,2337
355,2381
356,2433
357,2401
358,2422
359,2368
360,2321
