Degree,Sum of Pixels
1,1896
2,1886
3,1892
4,1896
5,1870
6,1882
7,1902
8,1885
9,1881
10,1897
11,1883
12,1877
13,1896
14,1887
15,1879
16,1893
17,1868
18,1871
19,1885
20,1875
21,1872
22,1886
23,1874
24,1869
25,1886
26,1879
27,1856
28,1870
29,1852
30,1859
31,1889
32,1905
33,1870
34,1864
35,1865
36,1836
37,1888
38,1879
39,1859
40,1885
41,1869
42,1869
43,1893
44,1888
45,1860
46,1889
47,1896
48,1884
49,1891
50,1894
51,1852
52,1889
53,1885
54,1889
55,1891
56,1888
57,1879
58,1887
59,1872
60,1864
61,1874
62,1887
63,1880
64,1886
65,1876
66,1875
67,1857
68,1847
69,1830
70,1847
71,1833
72,1823
73,1848
74,1851
75,1793
76,1829
77,1803
78,1810
79,1795
80,1794
81,1746
82,1765
83,1746
84,1762
85,1732
86,1723
87,1707
88,1714
89,1700
90,1714
91,1703
92,1748
93,1736
94,1736
95,1747
96,1769
97,1748
98,1764
99,1741
100,1783
101,1770
102,1755
103,1755
104,1771
105,1757
106,1756
107,1757
108,1740
109,1775
110,1775
111,1754
112,1758
113,1758
114,1764
115,1766
116,1752
117,1720
118,1746
119,1736
120,1722
121,1729
122,1731
123,1742
124,1733
125,1723
126,1744
127,1720
128,1730
129,1724
130,1753
131,1786
132,1808
133,1817
134,1840
135,1835
136,1866
137,1875
138,1872
139,1901
140,1926
141,1916
142,1925
143,1938
144,1926
145,1959
146,1977
147,1968
148,1977
149,1995
150,1971
151,1988
152,2020
153,2009
154,2032
155,2023
156,2004
157,2018
158,2036
159,2014
160,2016
161,2017
162,2010
163,2014
164,2040
165,2017
166,2030
167,2049
168,2014
169,2020
170,2025
171,2016
172,2017
173,2009
174,2000
175,2004
176,2009
177,1995
178,1988
179,1961
180,1928
181,1968
182,1972
183,1937
184,1935
185,1939
186,1920
187,1908
188,1930
189,1897
190,1892
191,1896
192,1871
193,1868
194,1862
195,1829
196,1824
197,1832
198,1807
199,1803
200,1805
201,1793
202,1769
203,1771
204,1750
205,1731
206,1735
207,1705
208,1706
209,1694
210,1682
211,1671
212,1657
213,1631
214,1633
215,1626
216,1588
217,1581
218,1599
219,1576
220,1579
221,1612
222,1609
223,1673
224,1697
225,1691
226,1689
227,1719
228,1716
229,1722
230,1735
231,1739
232,1740
233,1768
234,1748
235,1774
236,1789
237,1780
238,1766
239,1796
240,1774
241,1774
242,1840
243,1814
244,1801
245,1833
246,1810
247,1802
248,1823
249,1799
250,1799
251,1818
252,1795
253,1787
254,1819
255,1820
256,1797
257,1803
258,1806
259,1775
260,1773
261,1774
262,1764
263,1806
264,1766
265,1782
266,1792
267,1799
268,1789
269,1792
270,1801
271,1797
272,1823
273,1827
274,1827
275,1858
276,1837
277,1815
278,1863
279,1858
280,1847
281,1854
282,1835
283,1821
284,1848
285,1829
286,1834
287,1837
288,1838
289,1825
290,1850
291,1846
292,1827
293,1843
294,1834
295,1808
296,1828
297,1826
298,1806
299,1807
300,1794
301,1782
302,1806
303,1801
304,1776
305,1765
306,1764
307,1746
308,1771
309,1779
310,1773
311,1843
312,1844
313,1832
314,1867
315,1889
316,1884
317,1923
318,1933
319,1923
320,1946
321,1973
322,1952
323,2000
324,1984
325,1961
326,1993
327,2017
328,1985
329,2024
330,2015
331,2008
332,2025
333,2039
334,2023
335,2043
336,2024
337,2012
338,2039
339,2011
340,2008
341,2004
342,2002
343,1986
344,1995
345,1994
346,1982
347,1992
348,1987
349,1939
350,1981
351,1975
352,1964
353,1973
354,1983
355,1952
356,1948
357,1948
358,1939
359,1901
360,1904
