Degree,Sum of Pixels
1,2403
2,2353
3,2381
4,2381
5,2374
6,2411
7,2324
8,2345
9,2369
10,2344
11,2335
12,2353
13,2282
14,2274
15,2356
16,2341
17,2317
18,2269
19,2241
20,2272
21,2290
22,2268
23,2252
24,2202
25,2211
26,2211
27,2253
28,2188
29,2155
30,2171
31,2190
32,2162
33,2168
34,2123
35,2076
36,2124
37,2137
38,2118
39,2070
40,2028
41,2026
42,2103
43,2085
44,2052
45,2040
46,1986
47,1996
48,2044
49,2036
50,2036
51,1998
52,2052
53,2115
54,2166
55,2157
56,2146
57,2176
58,2218
59,2238
60,2284
61,2248
62,2234
63,2291
64,2329
65,2318
66,2327
67,2300
68,2276
69,2357
70,2378
71,2395
72,2355
73,2348
74,2376
75,2414
76,2408
77,2366
78,2389
79,2361
80,2408
81,2468
82,2415
83,2386
84,2395
85,2413
86,2386
87,2404
88,2388
89,2329
90,2402
91,2428
92,2399
93,2402
94,2331
95,2317
96,2400
97,2397
98,2396
99,2334
100,2274
101,2299
102,2361
103,2330
104,2328
105,2288
106,2309
107,2265
108,2316
109,2272
110,2233
111,2229
112,2267
113,2278
114,2249
115,2253
116,2170
117,2182
118,2233
119,2210
120,2210
121,2146
122,2100
123,2146
124,2158
125,2120
126,2098
127,2076
128,2067
129,2094
130,2111
131,2091
132,2030
133,2053
134,2030
135,2069
136,2054
137,2008
138,2001
139,2018
140,2056
141,2061
142,2045
143,2034
144,2097
145,2163
146,2176
147,2213
148,2171
149,2157
150,2244
151,2295
152,2245
153,2266
154,2267
155,2243
156,2347
157,2344
158,2268
159,2316
160,2310
161,2306
162,2361
163,2371
164,2295
165,2285
166,2329
167,2349
168,2361
169,2353
170,2298
171,2363
172,2356
173,2366
174,2387
175,2308
176,2294
177,2329
178,2387
179,2325
180,2363
181,2318
182,2270
183,2343
184,2381
185,2302
186,2315
187,2314
188,2327
189,2376
190,2338
191,2260
192,2305
193,2317
194,2337
195,2329
196,2305
197,2241
198,2272
199,2316
200,2262
201,2273
202,2255
203,2178
204,2190
205,2244
206,2195
207,2200
208,2121
209,2130
210,2145
211,2187
212,2134
213,2118
214,2103
215,2088
216,2115
217,2118
218,2048
219,2033
220,2051
221,2051
222,2061
223,2078
224,2007
225,1988
226,2041
227,2047
228,2042
229,2035
230,1979
231,2013
232,2097
233,2108
234,2104
235,2129
236,2121
237,2155
238,2215
239,2195
240,2184
241,2188
242,2217
243,2172
244,2237
245,2159
246,2195
247,2166
248,2216
249,2159
250,2184
251,2182
252,2198
253,2227
254,2197
255,2236
256,2183
257,2214
258,2177
259,2200
260,2244
261,2171
262,2167
263,2165
264,2156
265,2245
266,2225
267,2156
268,2193
269,2204
270,2224
271,2250
272,2204
273,2227
274,2171
275,2196
276,2232
277,2180
278,2190
279,2160
280,2223
281,2228
282,2245
283,2223
284,2248
285,2200
286,2195
287,2153
288,2224
289,2245
290,2243
291,2195
292,2188
293,2189
294,2197
295,2248
296,2230
297,2206
298,2168
299,2246
300,2216
301,2124
302,2160
303,2150
304,2126
305,2059
306,2061
307,2094
308,2118
309,2073
310,2048
311,2009
312,1997
313,2073
314,2078
315,2041
316,1994
317,1980
318,1985
319,2051
320,2021
321,2015
322,2049
323,2080
324,2132
325,2196
326,2169
327,2144
328,2210
329,2254
330,2243
331,2245
332,2213
333,2232
334,2273
335,2301
336,2323
337,2315
338,2307
339,2297
340,2378
341,2396
342,2373
343,2367
344,2323
345,2361
346,2419
347,2388
348,2365
349,2373
350,2420
351,2434
352,2451
353,2402
354,2334
355,2367
356,2451
357,2411
358,2438
359,2379
360,2335
