Frame,Angle_deg,Count_0_90,Count_180_270,Difference,Ratio,Normalized_Diff
0,0,64864,65946,1082,0.008271538873174833,0.013195121951219512
1,1,64660,65566,906,0.006957136055779952,0.011075794621026895
2,2,64069,65075,1006,0.007789754072972805,0.012358722358722358
3,3,62881,64612,1731,0.013577216004015907,0.02137037037037037
4,4,62690,64174,1484,0.011697565897338882,0.018366336633663365
5,5,61935,63346,1411,0.01126268149200597,0.017527950310559006
6,6,61611,62442,831,0.006698749727938865,0.010374531835205992
7,7,60953,61937,984,0.008007160875579787,0.012330827067669173
8,8,60514,61418,904,0.0074139684414263685,0.011371069182389937
9,9,59843,60924,1081,0.008951120753185887,0.013648989898989898
10,10,59408,60321,913,0.007625554376967986,0.011556962025316456
11,11,58762,59787,1025,0.008646213801887827,0.013040712468193385
12,12,57653,59434,1781,0.01521091154440715,0.022774936061381073
13,13,57105,58813,1708,0.01473455373626184,0.021925545571245188
14,14,56454,58298,1844,0.016069436698271055,0.023762886597938144
15,15,55767,57676,1909,0.016827834242747457,0.024695989650711514
16,16,55137,56517,1380,0.012359610940942555,0.017945383615084524
17,17,54545,55661,1116,0.010126490390722828,0.014569190600522194
18,18,53894,55124,1230,0.011282540497899429,0.016120576671035388
19,19,53285,54588,1303,0.012079018846235851,0.017122207621550593
20,20,52752,54034,1282,0.01200531904931358,0.01691292875989446
21,21,51902,53223,1321,0.012565992865636148,0.017496688741721854
22,22,51452,52720,1268,0.01217217678454863,0.016839309428950865
23,23,49768,51882,2114,0.020796851942941466,0.0282620320855615
24,24,49291,51310,2019,0.02006938300812119,0.027064343163538875
25,25,48279,50409,2130,0.02158317120622568,0.028706199460916442
26,26,47644,48819,1175,0.012180836175528441,0.01592140921409214
27,27,46749,48103,1354,0.01427487032429469,0.018421768707482994
28,28,46012,47406,1394,0.014922177738765549,0.019043715846994536
29,29,45229,46859,1630,0.01770046042915472,0.022359396433470506
30,30,44541,45881,1340,0.01481940235783327,0.018457300275482095
31,31,43825,45067,1242,0.013972010979615713,0.017154696132596684
32,32,43160,44551,1391,0.015858900251963837,0.019265927977839336
33,33,41719,43752,2033,0.023785845491453243,0.028314763231197772
34,34,41303,42856,1553,0.018453166030965196,0.021750700280112046
35,35,40854,42333,1479,0.01777922031086588,0.02077247191011236
36,36,40534,41689,1155,0.014047164418714958,0.01629055007052186
37,37,40260,40775,515,0.006355278583328191,0.007315340909090909
38,38,39892,40324,432,0.005385459259998005,0.006153846153846154
39,39,39661,40147,486,0.006089615076182839,0.006952789699570815
40,40,39568,39766,198,0.0024957773464088537,0.0028448275862068967
41,41,39319,39540,221,0.0028024702316793264,0.0031890331890331892
42,42,39048,39412,364,0.004639306653071629,0.005283018867924529
43,43,38668,39154,486,0.006245020688237259,0.007105263157894737
44,44,38509,38960,451,0.005821683512114523,0.006622613803230543
45,45,38126,38916,790,0.010254147088601022,0.011686390532544378
46,46,37831,38544,713,0.009335515548281506,0.010594353640416047
47,47,37583,38100,517,0.006831124559015895,0.00775112443778111
48,48,37435,37578,143,0.001906336235052591,0.002156862745098039
49,49,37192,37493,301,0.0040302604271272675,0.00456752655538695
50,50,37057,37122,65,0.0008762587794389247,0.000995405819295559
51,51,37069,37087,18,0.00024273153891795675,0.00027820710973724884
52,52,37361,36960,401,0.00539551405390132,0.006255850234009361
53,53,37378,37169,209,0.002803600413162166,0.003281004709576138
54,54,37747,37344,403,0.005366821589804371,0.006406995230524642
55,55,37684,37504,180,0.002393999042400383,0.0028892455858747996
56,56,37679,37279,400,0.005336321673470477,0.006482982171799027
57,57,38077,37567,510,0.006742107767965734,0.008374384236453201
58,58,38522,37817,705,0.009235122283498605,0.011691542288557214
59,59,38419,37761,658,0.008637437647676556,0.011040268456375839
60,60,38564,38385,179,0.0023262160651860322,0.003033898305084746
61,61,38900,38449,451,0.005830715329222097,0.007722602739726027
62,62,39089,38680,409,0.005259164962902956,0.007076124567474048
63,63,39171,38680,491,0.006306919628521149,0.008659611992945326
64,64,39326,38821,505,0.006462180250041589,0.009033989266547407
65,65,39471,38996,475,0.006053500197535269,0.008605072463768116
66,66,39730,39031,699,0.008874950800523102,0.012825688073394495
67,67,39844,39234,610,0.007713902728951162,0.011317254174397032
68,68,39289,39754,465,0.005882873878774844,0.00872420262664165
69,69,39034,39825,791,0.010030560874472159,0.014812734082397003
70,70,39151,39157,6,7.662052408438473e-05,0.00011152416356877323
71,71,39564,38855,709,0.009041176245552736,0.012961608775137112
72,72,39742,39222,520,0.00658527936781318,0.00931899641577061
73,73,40107,39817,290,0.00362844702467344,0.005087719298245614
74,74,41137,40061,1076,0.013251557920145816,0.018393162393162393
75,75,41411,40397,1014,0.012394875806767064,0.017013422818791948
76,76,41853,40906,947,0.011442864220205658,0.015652892561983472
77,77,42601,41561,1040,0.01235712079085573,0.016883116883116882
78,78,42909,42099,810,0.009528514963297572,0.01287758346581876
79,79,43640,42571,1069,0.012399809769054993,0.016703125
80,80,44282,43301,981,0.011200803808958359,0.015115562403697998
81,81,45115,43873,1242,0.013956938014114262,0.018846737481031866
82,82,45676,44271,1405,0.015620309737956797,0.021032934131736528
83,83,46012,44837,1175,0.012933549075939195,0.017381656804733726
84,84,47634,45778,1856,0.019868967584464523,0.02689855072463768
85,85,48485,46459,2026,0.021338894506235256,0.028984263233190272
86,86,49355,47233,2122,0.021969602849215224,0.02997175141242938
87,87,50511,48938,1573,0.01581715251033193,0.021847222222222223
88,88,51507,49656,1851,0.018297203523027192,0.025425824175824174
89,89,52208,50541,1667,0.01622400218006988,0.022680272108843536
