Frame,Angle_deg,Count_0_90,Count_180_270,Difference,Ratio,Normalized_Diff
0,0,67525,68442,917,0.006744283539388234,0.011155717761557177
1,1,67127,67862,735,0.005444888101993495,0.00896341463414634
2,2,66344,67538,1194,0.008918301190600678,0.014614443084455324
3,3,65296,66881,1585,0.011991496251238869,0.019519704433497535
4,4,65099,66609,1510,0.011464755367935129,0.018641975308641975
5,5,64323,65763,1440,0.011069600110696002,0.017843866171003718
6,6,63987,65007,1020,0.00790734452765245,0.012702366127023662
7,7,63308,64486,1178,0.009217960154623847,0.01474342928660826
8,8,62857,63773,916,0.0072336729053146965,0.0114930991217064
9,9,62347,63445,1098,0.008728694988552532,0.013811320754716982
10,10,61724,62648,924,0.007429324928440485,0.01168141592920354
11,11,61056,62277,1221,0.009900026756829073,0.015475285171102662
12,12,59917,61546,1629,0.013411491565332653,0.020778061224489795
13,13,59347,61091,1744,0.014480479582855909,0.022330345710627402
14,14,58683,60375,1692,0.014211560751902434,0.021748071979434448
15,15,57982,59920,1938,0.016437380197112855,0.02497422680412371
16,16,57339,58552,1213,0.010466731670276381,0.015732814526588847
17,17,56730,57854,1124,0.009809397472596524,0.014635416666666666
18,18,56064,57301,1237,0.010911657037004367,0.016169934640522875
19,19,55438,56752,1314,0.011712273821196184,0.017221494102228046
20,20,54708,55996,1288,0.011634629281688106,0.01694736842105263
21,21,54022,55354,1332,0.01217817437097718,0.017595772787318362
22,22,53561,54835,1274,0.011753201225137459,0.01685185185185185
23,23,52023,53979,1956,0.01845248202864097,0.02608
24,24,51352,53394,2042,0.01949477784354534,0.02729946524064171
25,25,50506,52476,1970,0.019129556621545512,0.02644295302013423
26,26,49670,51039,1369,0.013593621225511126,0.018475033738191635
27,27,48938,50308,1370,0.013804082784192814,0.01858887381275441
28,28,48186,49412,1226,0.012561732822393902,0.01670299727520436
29,29,47375,48846,1471,0.015287723054218933,0.020123119015047878
30,30,46664,48034,1370,0.014467042598576528,0.018818681318681318
31,31,45914,47207,1293,0.013885160167953523,0.0178099173553719
32,32,45037,46479,1442,0.015756807552777655,0.019944674965421853
33,33,43773,45646,1873,0.020946331316610563,0.02601388888888889
34,34,43148,44916,1768,0.020076308139534885,0.0246927374301676
35,35,42704,44190,1486,0.017101295831702994,0.020841514726507714
36,36,42376,43531,1155,0.01344477167169148,0.016244725738396623
37,37,42087,42791,704,0.008294257640377955,0.009957567185289957
38,38,41709,42330,621,0.007389426337771749,0.008821022727272728
39,39,41472,41965,493,0.005908649639848029,0.0070328102710413695
40,40,41365,41758,393,0.004727933303658434,0.0056223175965665236
41,41,41105,41331,226,0.0027415206948420592,0.0032517985611510794
42,42,40823,41193,370,0.004511314865392119,0.005346820809248555
43,43,40410,40919,509,0.006258530167590896,0.0074090247452692866
44,44,40238,40902,664,0.008183386738969681,0.009693430656934307
45,45,39841,40476,635,0.007906171794265225,0.009338235294117647
46,46,39525,40273,748,0.009373668512995313,0.01106508875739645
47,47,39080,39618,538,0.00683626013367557,0.008029850746268656
48,48,38911,39068,157,0.002013362571974506,0.002360902255639098
49,49,38647,38977,330,0.004251262496135216,0.004992435703479577
50,50,38485,38580,95,0.0012327256212288328,0.001448170731707317
51,51,38464,38700,236,0.003058421025348608,0.0036140888208269525
52,52,38730,38362,368,0.004773517355886474,0.005687789799072643
53,53,38717,38548,169,0.00218727755128454,0.002632398753894081
54,54,39031,38508,523,0.006744992842311611,0.008249211356466876
55,55,39122,38637,485,0.0062372201288596815,0.00773524720893142
56,56,39092,38565,527,0.006786252366174331,0.008486312399355878
57,57,39459,38984,475,0.006055352294022411,0.007748776508972268
58,58,39526,39206,320,0.004064421074023269,0.005263157894736842
59,59,39568,38941,627,0.007986345514526996,0.01045
60,60,39858,39540,318,0.004005138668480315,0.005335570469798658
61,61,40165,39572,593,0.0074369489697380135,0.010067911714770799
62,62,40144,39599,545,0.006834455688900593,0.00936426116838488
63,63,40160,39743,417,0.0052188278287423505,0.007302977232924694
64,64,40290,39855,435,0.005427662361968931,0.007712765957446808
65,65,40386,40000,386,0.004801831164630657,0.006929982046678635
66,66,40624,40178,446,0.00551966535481795,0.00810909090909091
67,67,40701,40173,528,0.0065286742339936196,0.009723756906077349
68,68,40823,40624,199,0.002443306690240279,0.003733583489681051
69,69,40880,41020,140,0.0017094017094017094,0.0026217228464419477
70,70,40959,40662,297,0.0036387694343367515,0.005541044776119403
71,71,41345,40674,671,0.008181031224472378,0.01226691042047532
72,72,41483,41014,469,0.005685055214128999,0.008405017921146953
73,73,41810,41578,232,0.002782174893270015,0.004070175438596491
74,74,42779,41781,998,0.011802270577105015,0.01705982905982906
75,75,43015,42083,932,0.010952078779759806,0.01563758389261745
76,76,43420,42559,861,0.010014073203921888,0.014231404958677685
77,77,44145,43187,958,0.010969633124169835,0.015551948051948051
78,78,44411,43654,757,0.008595923465621984,0.012034976152623212
79,79,45112,44088,1024,0.01147982062780269,0.016
80,80,45710,44781,929,0.010266214319656098,0.014314329738058552
81,81,46512,45317,1195,0.013013318232802273,0.018133535660091047
82,82,47032,45676,1356,0.01462656944384519,0.020299401197604792
83,83,47330,46200,1130,0.012081685020848925,0.016715976331360946
84,84,48878,47114,1764,0.018376531377614802,0.025565217391304348
85,85,49714,47766,1948,0.019983586376692654,0.02786838340486409
86,86,50577,48500,2077,0.020963493040766272,0.029336158192090397
87,87,51736,50161,1575,0.01545678479248653,0.021875
88,88,52737,50879,1858,0.017931593576281657,0.02552197802197802
89,89,53455,51749,1706,0.016216113455762137,0.023210884353741496
